Layer,Material_Index,Material_Name,Refractive_Index,dOpt,Physical_Thickness_nm
1,2,TiGermania,1.866,0.2170603,123.76857406216506
2,1,SiO2,1.45,0.27883133,204.60450697931034
3,2,TiGermania,1.866,0.21239993,121.11121410503752
4,1,SiO2,1.45,0.27574223,202.3377467034483
5,2,TiGermania,1.866,0.2100224,119.75553783494107
6,1,SiO2,1.45,0.27478483,201.6352131862069
7,2,TiGermania,1.866,0.21021694,119.86646525187567
8,1,SiO2,1.45,0.27580163,202.38133401379315
9,2,TiGermania,1.866,0.21108612,120.36207485530545
10,1,SiO2,1.45,0.2750095,201.80007448275867
11,2,TiGermania,1.866,0.21161765,120.6651551982851
12,1,SiO2,1.45,0.27682552,203.13265743448278
13,2,TiGermania,1.866,0.2140878,122.07364372990352
14,1,SiO2,1.45,0.27809644,204.06524976551725
15,2,TiGermania,1.866,0.21660663,123.50988977491963
16,1,SiO2,1.45,0.28231385,207.15995613793103
17,2,TiGermania,1.866,0.22123018,126.14625483386925
18,1,SiO2,1.45,0.28287047,207.56840005517245
19,2,TiGermania,1.866,0.222173,126.68385423365488
20,1,SiO2,1.45,0.28528967,209.34359233103447
21,2,TiGermania,1.866,0.22192334,126.54149719185423
22,1,SiO2,1.45,0.28595474,209.83161611034484
23,2,TiGermania,1.866,0.22295675,127.13075133976422
24,1,SiO2,1.45,0.28590158,209.79260766896553
25,2,TiGermania,1.866,0.22417808,127.82715815648446
26,1,SiO2,1.45,0.2886696,211.8237616551725
27,2,TiGermania,1.866,0.2225355,126.89055305466239
28,1,SiO2,1.45,0.2860239,209.88236524137935
29,2,TiGermania,1.866,0.2221206,126.65397556270096
30,1,SiO2,1.45,0.28551558,209.50936353103452
31,2,TiGermania,1.866,0.22401643,127.73498473740621
32,1,SiO2,1.45,0.2856949,209.64094731034487
33,2,TiGermania,1.866,0.22399613,127.7234096034298
34,1,SiO2,1.45,0.28496593,209.10603415172415
35,2,TiGermania,1.866,0.22124115,126.15250996784567
36,1,SiO2,1.45,0.28238794,207.21432286896552
37,2,TiGermania,1.866,0.21903391,124.89393367631298
38,1,SiO2,1.45,0.279013,204.73781517241386
39,2,TiGermania,1.866,0.21344282,121.70587378349413
40,1,SiO2,1.45,0.2737801,200.89794924137937
41,2,TiGermania,1.866,0.21062948,120.1016970632369
42,1,SiO2,1.45,0.2736283,200.7865594482759
43,2,TiGermania,1.866,0.21217284,120.98172655948554
44,1,SiO2,1.45,0.2730464,200.35956524137936
45,2,TiGermania,1.866,0.2162206,123.28977406216507
46,1,SiO2,1.45,0.2760927,202.59491917241382
47,2,TiGermania,1.866,0.22146194,126.27840523043945
48,1,SiO2,1.45,0.27702424,203.27847680000002
49,2,TiGermania,1.866,0.25427416,144.98805264737408
50,1,SiO2,1.45,0.39999992,293.51718267586216
